Crash Year,Crash Month,Crash Day,Time of Day,Day of Week,City or Township,Crash: Motorway,Crash: Hit-and-Run,Lighting Conditions,Weather Conditions (2021+),Speed Limit at Crash Site,Worst Injury in Crash,Party Type,Person Age,Person Gender
2023,February,1,9:00 AM - 10:00 AM,Thursday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Daylight,Clear,35,Suspected minor injury (B),Motor vehicle driver,31,Female
2023,February,1,7:00 PM - 8:00 PM,Thursday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Dark lighted,Clear,30,Suspected serious injury (A),Motor vehicle driver,44,Female
2023,February,1,11:00 AM - 12:00 noon,Thursday,United Kingdom: Birmingham,Motorway crash,Hit-and-run,Daylight,Cloudy,30,Possible injury (C),Motor vehicle driver,31,Female
2023,February,1,6:00 PM - 7:00 PM,Thursday,United Kingdom: Birmingham,Motorway crash,Hit-and-run,Dark lighted,Clear,30,Suspected minor injury (B),Motor vehicle driver,31,Female
2023,March,1,2:00 PM - 3:00 PM,Thursday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Daylight,Snow,25,No injury (O),Motor vehicle driver,53,Female
2023,April,1,1:00 PM - 2:00 PM,Sunday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Daylight,Clear,25,Possible injury (C),Motor vehicle driver,27,Female
2023,May,1,8:00 AM - 9:00 AM,Tuesday,United Kingdom: East London,Motorway crash,Not hit-and-run,Daylight,Clear,45,Possible injury (C),Motor vehicle driver,22,Male
2023,May,1,3:00 PM - 4:00 PM,Tuesday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Daylight,Clear,35,Suspected minor injury (B),Motor vehicle driver,18,Male
2023,May,1,3:00 PM - 4:00 PM,Tuesday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Daylight,Clear,30,Suspected minor injury (B),Motor vehicle driver,20,Female
2023,June,1,8:00 PM - 9:00 PM,Friday,United Kingdom: Birmingham,Non motorway crash,Not hit-and-run,Daylight,Clear,25,Suspected minor injury (B),Motor vehicle driver,47,Female
2023,June,1,2:00 PM - 3:00 PM,Friday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Daylight,Clear,30,Possible injury (C),Motor vehicle driver,18,Male
2023,June,1,9:00 AM - 10:00 AM,Friday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Daylight,Clear,25,Possible injury (C),Motor vehicle driver,50,Female
2023,July,1,10:00 PM - 11:00 PM,Sunday,United Kingdom: Birmingham,Non motorway crash,Not hit-and-run,Dark lighted,Clear,25,Possible injury (C),Motor vehicle driver,51,Male
2023,July,1,10:00 PM - 11:00 PM,Sunday,United Kingdom: Birmingham,Non motorway crash,Not hit-and-run,Dark lighted,Clear,25,Possible injury (C),Motor vehicle driver,53,Male
2023,August,1,6:00 PM - 7:00 PM,Wednesday,United Kingdom: Leicester,Motorway crash,Not hit-and-run,Daylight,Clear,25,Possible injury (C),Motor vehicle driver,36,Male
2023,August,1,12:00 noon - 1:00 PM,Wednesday,United Kingdom: Bradford,Motorway crash,Hit-and-run,Daylight,Clear,15,Possible injury (C),Motor vehicle driver,19,Female
2023,August,1,5:00 PM - 6:00 PM,Wednesday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Daylight,Clear,Female,No injury (O),Motor vehicle driver,19,Female
2023,August,1,11:00 PM - 12:00 midnight,Wednesday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Dark lighted,Clear,Female,Fatal injury (K),Motor vehicle driver,28,Female
2023,September,1,8:00 PM - 9:00 PM,Saturday,United Kingdom: Birmingham,Motorway crash,Hit-and-run,Dark lighted,Clear,35,Suspected minor injury (B),Motor vehicle driver,28,Female
2023,October,1,7:00 AM - 8:00 AM,Monday,United Kingdom: Derby,Motorway crash,Not hit-and-run,Daylight,Rain,25,Suspected minor injury (B),Motor vehicle driver,17,Female
2023,October,1,2:00 PM - 3:00 PM,Monday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Daylight,Clear,45,Suspected minor injury (B),Motor vehicle driver,31,Male
2023,October,1,7:00 AM - 8:00 AM,Monday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Dark lighted,Cloudy,30,Suspected minor injury (B),Motor vehicle driver,53,Male
2023,October,1,12:00 noon - 1:00 PM,Monday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Daylight,Rain,25,No injury (O),Motor vehicle driver,28,Female
2023,October,1,7:00 AM - 8:00 AM,Monday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Dark lighted,Rain,25,Possible injury (C),Motor vehicle driver,28,Female
2023,November,1,9:00 AM - 10:00 AM,Thursday,United Kingdom: Luton,Motorway crash,Not hit-and-run,Daylight,Rain,25,Possible injury (C),Motor vehicle driver,21,Female
2023,November,1,7:00 PM - 8:00 PM,Thursday,United Kingdom: Wolverhampton,Non motorway crash,Hit-and-run,Dark lighted,Rain,40,Suspected serious injury (A),Motor vehicle driver,28,Female
2023,November,1,6:00 PM - 7:00 PM,Thursday,United Kingdom: Birmingham,Non motorway crash,Not hit-and-run,Dusk,Rain,Female,Possible injury (C),Motor vehicle driver,69,Male
2023,November,1,7:00 AM - 8:00 AM,Thursday,United Kingdom: Birmingham,Non motorway crash,Not hit-and-run,Dark lighted,Rain,35,Possible injury (C),Motor vehicle driver,52,Female
2023,November,1,6:00 PM - 7:00 PM,Thursday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Dark lighted,Rain,25,No injury (O),Motor vehicle driver,26,Female
2023,November,1,5:00 AM - 6:00 AM,Thursday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Dark lighted,Rain,35,Fatal injury (K),Motor vehicle driver,58,Male
2023,November,1,2:00 PM - 3:00 PM,Thursday,United Kingdom: Birmingham,Motorway crash,Hit-and-run,Daylight,Rain,25,Possible injury (C),Motor vehicle driver,28,Female
2023,December,1,11:00 AM - 12:00 noon,Saturday,United Kingdom: Luton,Motorway crash,Not hit-and-run,Daylight,Cloudy,25,No injury (O),Motor vehicle driver,59,Female
2023,December,1,7:00 PM - 8:00 PM,Saturday,United Kingdom: Birmingham,Non motorway crash,Not hit-and-run,Dark lighted,Rain,35,Possible injury (C),Motor vehicle driver,35,Male
2023,March,2,10:00 AM - 11:00 AM,Friday,United Kingdom: Birmingham,Non motorway crash,Not hit-and-run,Daylight,Cloudy,30,Possible injury (C),Motor vehicle driver,78,Male
2023,March,2,9:00 AM - 10:00 AM,Friday,United Kingdom: Birmingham,Motorway crash,Hit-and-run,Daylight,Clear,35,Possible injury (C),Motor vehicle driver,28,Female
2023,April,2,12:00 noon - 1:00 PM,Monday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Daylight,Clear,35,Possible injury (C),Motor vehicle driver,63,Female
2023,April,2,11:00 PM - 12:00 midnight,Monday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Dark lighted,Clear,25,Possible injury (C),Motor vehicle driver,28,Female
2023,April,2,9:00 PM - 10:00 PM,Monday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Dark lighted,Clear,35,Possible injury (C),Motor vehicle driver,28,Female
2023,May,2,10:00 AM - 11:00 AM,Wednesday,United Kingdom: Lincoln,Non motorway crash,Not hit-and-run,Daylight,Clear,25,No injury (O),Motor vehicle driver,60,Male
2023,July,2,7:00 PM - 8:00 PM,Monday,United Kingdom: Thursk,Non motorway crash,Hit-and-run,Daylight,Clear,25,Suspected minor injury (B),Motor vehicle driver,28,Female
2023,August,2,9:00 PM - 10:00 PM,Thursday,United Kingdom: Sheffield,Motorway crash,Not hit-and-run,Dark lighted,Clear,45,Suspected minor injury (B),Motor vehicle driver,22,Female
2023,September,2,9:00 PM - 10:00 PM,Sunday,United Kingdom: Birmingham,Non motorway crash,Hit-and-run,Dark lighted,Clear,30,Suspected serious injury (A),Motor vehicle driver,28,Female
2023,October,2,2:00 PM - 3:00 PM,Tuesday,United Kingdom: Wolverhampton,Non motorway crash,Hit-and-run,Daylight,Cloudy,35,Suspected minor injury (B),Motor vehicle driver,28,Female
2023,October,2,7:00 PM - 8:00 PM,Tuesday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Dark lighted,Clear,35,Possible injury (C),Motor vehicle driver,70,Male
2023,October,2,5:00 PM - 6:00 PM,Tuesday,United Kingdom: Birmingham,Motorway crash,Hit-and-run,Daylight,Cloudy,30,Suspected minor injury (B),Motor vehicle driver,28,Female
2023,November,2,6:00 PM - 7:00 PM,Friday,United Kingdom: Walsall,Non motorway crash,Hit-and-run,Dark lighted,Clear,Female,Possible injury (C),Motor vehicle driver,28,Female
2023,November,2,8:00 AM - 9:00 AM,Friday,United Kingdom: East London,Motorway crash,Not hit-and-run,Daylight,Cloudy,40,Possible injury (C),Motor vehicle driver,33,Female
2023,November,2,7:00 AM - 8:00 AM,Friday,United Kingdom: Wolverhampton,Motorway crash,Not hit-and-run,Dark unlighted,Cloudy,40,Possible injury (C),Motor vehicle driver,51,Male
2023,November,2,12:00 noon - 1:00 PM,Friday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Daylight,Rain,25,Possible injury (C),Motor vehicle driver,28,Female
2023,November,2,9:00 PM - 10:00 PM,Friday,United Kingdom: Birmingham,Motorway crash,Not hit-and-run,Dark lighted,Rain,Female,Possible injury (C),Motor vehicle driver,73,Male
